lot,campus_exit,campus_exit_from_t0_s,campus_exit_travel_s,finish_exit,finish_from_t0_s
P7,Bronson Ave & University Dr,8639,8578,Brewer Park,9110
P7,Bronson Ave & University Dr,10149,10088,Brewer Park,10926
P7,Bronson Ave & University Dr,10728,10667,Brewer Park,11203
P5,Stadium Way,1950,1889,Brewer Park,2064
P5,Stadium Way,834,773,Brewer Park,944
P5,Stadium Way,3027,2966,Brewer Park,3131
P5,Stadium Way,1252,1191,Brewer Park,1360
P5,Stadium Way,1879,1818,Brewer Park,1990
P7,Bronson Ave & University Dr,10037,9976,Brewer Park,10801
P7,Bronson Ave & University Dr,9504,9443,Brewer Park,9985
P5,Stadium Way,1013,952,Brewer Park,1131
P7,Bronson Ave & University Dr,8987,8926,Brewer Park,9459
P7,Bronson Ave & University Dr,11713,11652,Brewer Park,12178
P5,Stadium Way,2151,2090,Brewer Park,2266
P5,Stadium Way,849,788,Brewer Park,962
P7,Bronson Ave & University Dr,9267,9206,Brewer Park,9744
P5,Stadium Way,1739,1678,Brewer Park,1848
P7,Bronson Ave & University Dr,161,100,Brewer Park,4541
P5,Stadium Way,2157,2096,Brewer Park,2274
P5,Stadium Way,1441,1380,Brewer Park,1541
P5,Stadium Way,1004,943,Brewer Park,1122
P1,Colonel By,169,108,Hogs Back Plaza (SW dest.),355
P5,Stadium Way,2333,2272,Brewer Park,2445
P5,Stadium Way,2471,2410,Brewer Park,2580
P5,Stadium Way,2415,2354,Brewer Park,2530
P7,Bronson Ave & University Dr,12436,12375,Brewer Park,12909
P7,Bronson Ave & University Dr,10264,10203,Brewer Park,11047
P7,Bronson Ave & University Dr,11083,11022,Brewer Park,11560
P7,Bronson Ave & University Dr,223,162,Brewer Park,4614
P7,Bronson Ave & University Dr,10213,10152,Brewer Park,10995
P4,Stadium Way,4213,4152,Brewer Park,4317
P7,Bronson Ave & University Dr,11659,11598,Brewer Park,12132
P5,Stadium Way,598,537,Brewer Park,710
P7,Bronson Ave & University Dr,11571,11510,Brewer Park,12337
P5,Stadium Way,1820,1759,Brewer Park,1930
P5,Stadium Way,533,472,Brewer Park,641
P7,Bronson Ave & University Dr,10747,10686,Brewer Park,11229
P7,Bronson Ave & University Dr,8203,8142,Brewer Park,8650
P4,Stadium Way,4115,4054,Brewer Park,4224
P3,Stadium Way,4033,3972,Brewer Park,4149
P7,Bronson Ave & University Dr,9426,9365,Brewer Park,9887
P5,Stadium Way,2347,2286,Brewer Park,2463
P7,Bronson Ave & University Dr,8716,8655,Brewer Park,9187
P7,Bronson Ave & University Dr,11855,11794,Brewer Park,12652
P7,Bronson Ave & University Dr,11625,11564,Brewer Park,12397
P7,Bronson Ave & University Dr,8564,8503,Brewer Park,9023
P7,Bronson Ave & University Dr,11568,11507,Brewer Park,12333
P4,Stadium Way,218,157,Brewer Park,268
P5,Stadium Way,2064,2003,Brewer Park,2181
P7,Bronson Ave & University Dr,10955,10894,Brewer Park,11423
P7,Bronson Ave & University Dr,9956,9895,Brewer Park,10728
P1,Colonel By,233,172,Hogs Back Plaza (SW dest.),433
P3,Stadium Way,3709,3648,Brewer Park,3821
P5,Stadium Way,236,175,Brewer Park,297
P7,Bronson Ave & University Dr,11148,11087,Brewer Park,11628
P5,Stadium Way,2961,2900,Brewer Park,3071
P3,Stadium Way,3983,3922,Brewer Park,4095
P4,Stadium Way,3044,2983,Brewer Park,3156
P7,Bronson Ave & University Dr,9647,9586,Brewer Park,10123
P5,Stadium Way,357,296,Brewer Park,465
P5,Stadium Way,1927,1866,Brewer Park,2038
P7,Bronson Ave & University Dr,8796,8735,Brewer Park,9264
P7,Bronson Ave & University Dr,9991,9930,Brewer Park,10455
P7,Bronson Ave & University Dr,11251,11190,Brewer Park,11708
P7,Bronson Ave & University Dr,9738,9677,Brewer Park,10204
P1,Colonel By,409,348,Hogs Back Plaza (SW dest.),648
P5,Stadium Way,2119,2058,Brewer Park,2241
P3,Stadium Way,3744,3683,Brewer Park,3851
P4,Stadium Way,4305,4244,Brewer Park,4415
P5,Stadium Way,2292,2231,Brewer Park,2406
P5,Stadium Way,3013,2952,Brewer Park,3119
P5,Stadium Way,665,604,Brewer Park,783
P5,Stadium Way,2798,2737,Brewer Park,2908
P4,Stadium Way,4268,4207,Brewer Park,4382
P1,Colonel By,283,222,Hogs Back Plaza (SW dest.),492
P2,Colonel By,599,538,Hogs Back Plaza (SW dest.),1006
P7,Bronson Ave & University Dr,11933,11872,Brewer Park,12740
P3,Stadium Way,3727,3666,Brewer Park,3834
P5,Stadium Way,923,862,Brewer Park,1037
P5,Stadium Way,1735,1674,Brewer Park,1843
P5,Stadium Way,2249,2188,Brewer Park,2363
P5,Stadium Way,311,250,Brewer Park,402
P7,Bronson Ave & University Dr,12387,12326,Brewer Park,12859
P5,Stadium Way,1678,1617,Brewer Park,1789
P7,Bronson Ave & University Dr,9520,9459,Brewer Park,9999
P5,Stadium Way,2241,2180,Brewer Park,2355
P5,Stadium Way,762,701,Brewer Park,874
P3,Stadium Way,3255,3194,Brewer Park,3365
P7,Bronson Ave & University Dr,9153,9092,Brewer Park,9628
P7,Bronson Ave & University Dr,12036,11975,Brewer Park,12836
P3,Stadium Way,3741,3680,Brewer Park,3847
P7,Bronson Ave & University Dr,10750,10689,Brewer Park,11234
P7,Bronson Ave & University Dr,11488,11427,Brewer Park,11962
P2,Colonel By,576,515,Hogs Back Plaza (SW dest.),961
P4,Stadium Way,283,222,Brewer Park,362
P5,Stadium Way,2921,2860,Brewer Park,3032
P7,Bronson Ave & University Dr,11577,11516,Brewer Park,12345
P4,Stadium Way,3235,3174,Brewer Park,3351
P5,Stadium Way,207,146,Brewer Park,252
P7,Bronson Ave & University Dr,11534,11473,Brewer Park,11996
P7,Bronson Ave & University Dr,11944,11883,Brewer Park,12753
P3,Stadium Way,3707,3646,Brewer Park,3813
P7,Bronson Ave & University Dr,11338,11277,Brewer Park,11814
P7,Bronson Ave & University Dr,11144,11083,Brewer Park,11620
P7,Bronson Ave & University Dr,11759,11698,Brewer Park,12225
P7,Bronson Ave & University Dr,109,48,Brewer Park,366
P1,Colonel By,292,231,Hogs Back Plaza (SW dest.),505
