"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"6955_3",114,47008022,"Stadionstraße","",1,,937,1,0
"6955_3",124,47008014,"Stadionstraße","",1,,937,1,0
"6955_3",124,47008013,"Stadionstraße","",1,,937,1,0
"6955_3",132,47008012,"Stadionstraße","",1,,937,1,0
"6955_3",133,47007850,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007633,"Stadionstraße","",1,,938,1,0
"6955_3",134,47007860,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007637,"Stadionstraße","",1,,938,1,0
"6955_3",134,47007848,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007636,"Stadionstraße","",1,,938,1,0
"6955_3",134,47007857,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007635,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007634,"Stadionstraße","",1,,938,1,0
"6955_3",134,47007847,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007638,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007750,"Stadionstraße","",1,,938,1,0
"6955_3",134,47007846,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007749,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007886,"Stadionstraße","",1,,938,1,0
"6955_3",134,47007856,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007885,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007753,"Stadionstraße","",1,,938,1,0
"6955_3",134,47007845,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007752,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007820,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007751,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007844,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007893,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007815,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007892,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007849,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007891,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007819,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007890,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007843,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007817,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007889,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007818,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007888,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007842,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007816,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007887,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007869,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007748,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007834,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007861,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007747,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007868,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007883,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007746,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007866,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007878,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007745,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007867,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007880,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007744,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007762,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007877,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007743,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007761,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007879,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007742,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007760,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007876,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007741,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007759,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007881,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007740,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007670,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007875,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007739,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007669,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007882,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007738,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007668,"Stadionstraße","",1,,938,1,0
