JAHR;SATZART1;SATZART2;FT_ENTF3;BE_NUTS3;FT_I;FT_I_ZS;KM_I;KM_I_ZS;TON_I;TON_I_ZS;TKM_I;TKM_I_ZS;FT_G;FT_G_ZS;KM_G;KM_G_ZS;TON_G;TON_G_ZS;TKM_G;TKM_G_ZS
2023;3;1;2;DE40E;172316,7;;15010146,3;;2127072,5;;186073896,2;;172316,7;;15010146,3;;2127072,5;;186073896,2;
2023;3;1;2;DE40F;48329,7;();4691211,2;();756706,6;();75410117,9;();48329,7;();4691211,2;();756706,6;();75410117,9;()
2023;3;1;2;DE40G;64432,0;();6009166,6;();871437,6;();79469082,1;();64432,0;();6009166,6;();871437,6;();79469082,1;()
2023;3;1;2;DE40H;256483,9;;22616112,6;;2664688,6;;227192179,3;;256483,9;;22616112,6;;2664688,6;;227192179,3;
2023;3;1;2;DE40I;96367,5;();8979121,7;;1417540,7;();130118049,8;();96367,5;();8979121,7;;1417540,7;();130118049,8;()
2023;3;1;2;DE501;471902,8;;46066545,4;;5698345,9;;560940079,6;;471902,8;;46066545,4;;5698345,9;;560940079,6;
2023;3;1;2;DE502;131369,5;;11726701,6;;1446192,8;();125690477,6;();131369,5;;11726701,6;;1446192,8;();125690477,6;()
2023;3;1;2;DE600;1018171,0;;97227301,3;;12562208,1;;1197070003,7;;1018171,0;;97227301,3;;12562208,1;;1197070003,7;
2023;3;1;2;DE711;44802,6;();3844437,6;();427464,7;();39196070,5;();44802,6;();3844437,6;();427464,7;();39196070,5;()
2023;3;1;2;DE712;300171,5;;26720819,5;;3460665,8;;309324372,5;;300171,5;;26720819,5;;3460665,8;;309324372,5;
2023;3;1;2;DE713;34874,9;();3211481,2;();;/;;/;34874,9;();3211481,2;();;/;;/
2023;3;1;2;DE714;98331,3;;8857865,8;;1241665,7;();114313998,8;();98331,3;;8857865,8;;1241665,7;();114313998,8;()
2023;3;1;2;DE715;132934,6;;12182853,0;;1545566,2;;141985966,1;;132934,6;;12211124,8;;1545566,2;;142127325,5;
2023;3;1;2;DE716;134833,2;;11388601,7;;1632744,5;();132708819,3;();134833,2;;11388601,7;;1632744,5;();132708819,3;()
2023;3;1;2;DE717;361755,3;;31779009,3;;4482597,1;;398404315,5;;361755,3;;31779009,3;;4482597,1;;398404315,5;
2023;3;1;2;DE718;54915,7;();4429418,5;();814848,5;();67700415,9;();54915,7;();4429418,5;();814848,5;();67700415,9;()
2023;3;1;2;DE719;287540,0;;25600307,9;;3317141,0;;297152038,1;;287540,0;;25600307,9;;3317141,0;;297152038,1;
2023;3;1;2;DE71A;127169,9;;11162136,5;;1851840,9;();163324774,8;();127169,9;;11162136,5;;1851840,9;();163324774,8;()
2023;3;1;2;DE71B;24506,4;();2208121,1;();;/;;/;24506,4;();2208121,1;();;/;;/
2023;3;1;2;DE71C;196102,1;;17539335,3;;2145326,5;;190120336,3;;196102,1;;17539335,3;;2145326,5;;190120336,3;
2023;3;1;2;DE71D;45091,1;();3991350,7;();496697,6;();44844577,4;();45091,1;();3991350,7;();496697,6;();44844577,4;()
2023;3;1;2;DE71E;213752,5;;18520036,8;;2812145,1;;252005369,1;();213752,5;;18520036,8;;2812145,1;;252005369,1;()
2023;3;1;2;DE721;242202,3;;21751265,2;;2815409,8;;253943083,7;;242202,3;;21751265,2;;2815409,8;;253943083,7;
2023;3;1;2;DE722;201863,6;;18126582,5;;2291199,0;;205914294,6;;201863,6;;18126582,5;;2291199,0;;205914294,6;
2023;3;1;2;DE723;113002,3;;9846896,2;();1310194,3;();113768670,8;();113002,3;;9846896,2;();1310194,3;();113768670,8;()
2023;3;1;2;DE724;95009,0;;8959089,6;;1164501,0;();114273569,1;();95009,0;;8959089,6;;1164501,0;();114273569,1;()
2023;3;1;2;DE725;80938,7;();7668173,6;();971551,2;();92043778,9;();80938,7;();7668173,6;();971551,2;();92043778,9;()
2023;3;1;2;DE731;100266,5;;9018173,4;();901479,6;();79823362,5;();100266,5;;9018173,4;();901479,6;();79823362,5;()
2023;3;1;2;DE732;213524,9;;21354375,9;;2703035,6;;267850484,7;;213524,9;;21354375,9;;2703035,6;;267850484,7;
2023;3;1;2;DE733;126542,5;;11924959,2;;1598705,6;();148823327,9;();126542,5;;11924959,2;;1598705,6;();148823327,9;()
2023;3;1;2;DE734;136959,6;;12818674,7;;1747351,5;;164854423,8;;136959,6;;12818674,7;;1747351,5;;164854423,8;
2023;3;1;2;DE735;161340,8;;14475263,7;;2144747,7;;189435368,6;;161340,8;;14475263,7;;2144747,7;;189435368,6;
2023;3;1;2;DE736;119457,6;;10551959,7;;1706212,9;();150589604,7;();119457,6;;10551959,7;;1706212,9;();150589604,7;()
2023;3;1;2;DE737;50789,7;();4433195,2;();660229,8;();58620509,5;();50789,7;();4433195,2;();660229,8;();58620509,5;()
2023;3;1;2;DE803;130748,4;;12676663,0;;1880279,2;();179058374,4;();130748,4;;12676663,0;;1880279,2;();179058374,4;()
2023;3;1;2;DE804;37592,2;();3665280,2;();303069,9;();29503569,4;();37592,2;();3665280,2;();303069,9;();29503569,4;()
2023;3;1;2;DE80J;320659,9;;30242646,4;;4490943,0;;416442234,0;;320659,9;;30339937,1;;4490943,0;;417143603,5;
2023;3;1;2;DE80K;185442,8;;17110962,9;;2564009,8;;227363966,3;;185442,8;;17110962,9;;2564009,8;;227363966,3;
2023;3;1;2;DE80L;129093,4;;11782505,1;;2086097,4;();189358260,5;;129093,4;;11782505,1;;2086097,4;();189358260,5;
2023;3;1;2;DE80M;143520,6;;13237475,9;;2155331,2;;197705915,1;;143520,6;;13237475,9;;2155331,2;;197705915,1;
2023;3;1;2;DE80N;98404,7;();8641977,2;;1540748,8;();130539844,0;();98404,7;();8675750,1;;1540748,8;();131432474,3;()
2023;3;1;2;DE80O;323471,2;;30185558,8;;4765242,3;;436125668,0;;323471,2;;30185558,8;;4765242,3;;436125668,0;
2023;3;1;2;DE911;110721,6;();9916340,0;();1110329,6;();100251151,1;();110721,6;();9916340,0;();1110329,6;();100251151,1;()
2023;3;1;2;DE912;91347,4;;8100859,2;;1510168,5;();136593902,0;();91347,4;;8100859,2;;1510168,5;();136593902,0;()
2023;3;1;2;DE913;50641,4;();4532123,2;();566109,0;();49402745,3;();50641,4;();4532123,2;();566109,0;();49402745,3;()
2023;3;1;2;DE914;68851,6;();5875874,2;();857627,8;();73491038,4;();68851,6;();5875874,2;();857627,8;();73491038,4;()
2023;3;1;2;DE916;118858,5;();10325788,7;;2304518,5;();197045648,9;();118858,5;();10325788,7;;2304518,5;();197045648,9;()
2023;3;1;2;DE917;71185,7;();6089262,0;();;/;;/;71185,7;();6089262,0;();;/;;/
2023;3;1;2;DE918;68648,3;();6268121,0;();959689,5;();85289528,0;();68648,3;();6268121,0;();959689,5;();85289528,0;()
2023;3;1;2;DE91A;76339,8;();7513121,1;();1255653,6;();127055373,5;();76339,8;();7513121,1;();1255653,6;();127055373,5;()
