lon,lat
9.9766534,53.5573705
9.9945887,53.5483893
9.9945895,53.5483894
9.9949529,53.5487073
9.9949541,53.5487077
9.9948892,53.5483711
9.9948903,53.5483712
9.9945483,53.5584807
9.9945515,53.558481
9.9756598,53.5608786
9.9756216,53.5612211
9.9952097,53.5485021
9.995211,53.5485023
9.9945211,53.5485227
9.9945218,53.5485229
9.9770356,53.5641485
9.9770349,53.5641483
9.9773562,53.5644963
9.9773558,53.5644964
9.9885993,53.5474895
9.9887062,53.5475265
9.9764819,53.5577287
9.9764817,53.5577294
9.9934043,53.5585798
9.9934063,53.5585803
9.9934044,53.558527
9.9934065,53.5585274
9.9819546,53.5543129
9.9819553,53.5543135
9.9817957,53.5543798
9.9817961,53.5543805
9.99348,53.5584675
9.9934821,53.5584678
9.9937165,53.5584647
9.993719,53.558465
9.9936949,53.5584312
9.9936972,53.5584315
9.9753689,53.5605159
9.9755184,53.5605114
9.9765454,53.5573627
9.9765452,53.5573629
9.977096,53.5643637
9.9770954,53.5643637
9.9775402,53.5642375
9.9775401,53.5642373
9.9936936,53.5588201
9.993696,53.5588208
9.988531,53.5474994
9.9888727,53.5475056
9.9950334,53.5487457
9.9950347,53.5487462
9.9940516,53.5589802
9.9940544,53.5589811
9.9947447,53.5483486
9.9947457,53.5483487
9.9690693,53.5459679
9.9695247,53.5458641
9.9940159,53.5590136
9.9940187,53.5590145
9.9943939,53.5584605
9.9943971,53.5584607
9.9943161,53.5589084
9.9943192,53.5589092
9.9942758,53.5589394
9.9942787,53.5589403
9.9943512,53.5588866
9.9943544,53.5588874
9.9934491,53.5584983
9.9934512,53.5584986
9.9941813,53.5589588
9.9941842,53.5589597
9.9934867,53.5585952
9.9934888,53.5585957
9.993675,53.5589087
9.9936773,53.5589095
9.9951033,53.5487106
9.9951047,53.548711
9.9945406,53.5586199
9.9945439,53.5586204
9.9946189,53.5586925
9.9946221,53.5586931
9.9945675,53.5587048
9.9945709,53.5587053
9.9942618,53.5584085
9.9942649,53.5584089
9.9937496,53.5588209
9.993752,53.5588217
9.9935785,53.5586391
9.9935808,53.5586396
9.9898624,53.5616904
9.989818,53.5617144
9.9898211,53.5617085
9.989818,53.5617144
9.9693951,53.5462183
9.9693944,53.5462185
9.9694992,53.5462394
9.9694985,53.5462396
9.9754445,53.5611568
9.9756292,53.5611844
9.9941428,53.5474477
9.9941437,53.5474481
