"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"1232_3",61,"769","Ahr., Auestieg / Ahr., Dänenweg / Wulfsdorf  >  Ahrensburger Schulen",3,"#ff0000","#ff0000",""
"1228_3",61,"658","%UB Großhansdorf > Hoisdorf > Siek",3,"#ff0000","#ff0000",""
"1225_3",61,"629","Bf. Bergedorf  >  Nettelnburg  >  Neuallermöhe  >  Bf. Bergedorf",3,"#ff0000","#ff0000",""
"1224_3",61,"623","%SB Elbgaustraße  >  %AB Burgwedel  >  %AB Quickborn   >  Quickborn-Heide",3,"#ff0000","#ff0000",""
"1223_3",61,"619","%UB  Billstedt  >  Oststeinbek  >  Glinde, Markt",3,"#ff0000","#ff0000",""
"1222_3",61,"616","%UB %AB Norderstedt Mitte  >  Harksheide  >  %AB Henstedt-Ulzburg  >  Kisdorf",3,"#ff0000","#ff0000",""
"1221_3",61,"609","Bf. Altona  >  Rathausmarkt  >   %UB  Billstedt  >  Bf. Bergedorf  >  Speckenweg",3,"#ff0000","#ff0000",""
"1220_3",61,"594","%SB  Wedel  >  Bf. Pinneberg  >  %AB Quickborn  >   %UB  %AB Norderstedt Mitte",3,"#ff0000","#ff0000",""
"1219_3",61,"593","Harkshörn (Nord)  >  Paracelsus-Klinik  >  Rhen  >  Ulzburg, Schulzentrum",3,"#ff0000","#ff0000",""
"1218_3",61,"578","Tangstedt  >  Wilstedt  >  Norderstedt, Schulzentrum Süd",3,"#ff0000","#ff0000",""
"1217_3",61,"569","Gartenholz  >  Bf. Ahrensburg  >   %UB  Ahrensburg West  >  Schulzentr. Am Heimgarten",3,"#ff0000","#ff0000",""
"1213_3",61,"537","Stapelfeld  >  Brunsbek  >  Schulzentrum Schmalenbeck",3,"#ff0000","#ff0000",""
"1212_3",61,"535","Bf. Bergedorf  >  Luisen-Gymnasium / Hansa-Gymnasium",3,"#ff0000","#ff0000",""
"1211_3",61,"534","Bf. Bergedorf / %UB Mümmelmannsberg - Lohbrügge - %SB Nettelnburg",3,"#ff0000","#ff0000",""
"1209_3",61,"494","%UB  %AB Norderstedt Mitte  >  Garstedt  > Friedrichsgabe  >  Harksheide",3,"#ff0000","#ff0000",""
"1208_3",61,"493","%UB  %AB Norderstedt Mitte  >  Glashütte, Markt",3,"#ff0000","#ff0000",""
"1207_3",61,"478","Bargfeld-Stegen/Kayhude  > Wiemerskamp > Tangstedt (> Norderstedt Schulen)",3,"#ff0000","#ff0000",""
"1203_3",61,"462","Bf. Rahlstedt  >  Gewerbepark Merkur  >  Gewerbegebiet Stapelfeld-Braak",3,"#ff0000","#ff0000",""
"1202_3",61,"438","Lauenburg, ZOB  >  Spitzort  >  Moorring  >  Lauenburg, ZOB",3,"#ff0000","#ff0000",""
"1200_3",61,"428","Schulverkehr Altengamme",3,"#ff0000","#ff0000",""
"1199_3",61,"424","Kälbersteert  >  Krauel  >  Schule Kirchwerder  >  Schule Zollenspieker",3,"#ff0000","#ff0000",""
"1198_3",61,"422","Schule Ochsenwerder  >  Fünfhausen  >  Schule Ochsenwerder",3,"#ff0000","#ff0000",""
"1196_3",61,"395","Bf. Pinneberg  >  Rellingen  >  Tangstedt",3,"#ff0000","#ff0000",""
"1195_3",61,"393","%UB  Garstedt  >   %UB  %AB Norderstedt Mitte  >  Harksheide  >  Harkshörn (Nord)",3,"#ff0000","#ff0000",""
"1194_3",61,"378","Glashütte  >  Tangstedt  >   Wilstedt  >  %UB%AB Norderstedt Mitte",3,"#ff0000","#ff0000",""
"1191_3",61,"339","Geesthacht, Hansastraße  >  Geesthacht, ZOB  >  Edmundsthal",3,"#ff0000","#ff0000",""
"1190_3",61,"338","Lauenburg, ZOB  >  Bf. Lauenburg  >  Unterstadt  >  Lauenburg, ZOB",3,"#ff0000","#ff0000",""
"1189_3",61,"337","Barsbüttel  >  Willinghusen  >  Stellau  >  Stapelfeld  >  Brunsbek  >  Trittau",3,"#ff0000","#ff0000",""
"1188_3",61,"336","Reinbek, Krabbenkamp  >  Reinbeker Schulen  >  Glinder Schulen",3,"#ff0000","#ff0000",""
"1184_3",61,"332","%UB Mümmelmannsberg  >  Höperfeld  >  Bf. Bergedorf  >  Friedhof Bergedorf",3,"#ff0000","#ff0000",""
"1183_3",61,"330","%UB Billstedt > Rotenbrückenweg > Billwerder Billdeich > %SB Mittlerer Landweg",3,"#ff0000","#ff0000",""
"1182_3",61,"328","Schule Kirchwerder > Schule Curslack  >  Curslacker Heerweg  >  Altengamme",3,"#ff0000","#ff0000",""
"1180_3",61,"323","Kirchwerder, Fersenweg  >  Schule Kirchwerder  >  Schule Curslack",3,"#ff0000","#ff0000",""
"1179_3",61,"322","Overwerder  >  Fünfhausen  >  Schule Kirchwerder",3,"#ff0000","#ff0000",""
"1178_3",61,"321","%SB Mittlerer Landweg > Allermöhe / %SB Nettelnburg > Bf. Bergedorf",3,"#ff0000","#ff0000",""
"1177_3",61,"31","%UB Rödingsmarkt > Billstedt > Bf. Bergedorf > Geesthacht > Lauenburg, ZOB",3,"#ff0000","#ff0000",""
"1176_3",61,"294","Barmstedt, Rantzauer See  >  Hemdingen  >  %AB Quickborn",3,"#ff0000","#ff0000",""
"1175_3",61,"293","%UB  %AB Norderstedt Mitte  >  Harksheide  >  Rhen  >  %AB Henstedt-Ulzburg > Kisdorf",3,"#ff0000","#ff0000",""
"1174_3",61,"269","Bf. Ahrensburg  >   %UB  Ahrensburg Ost  >  Ahrensburg, Am Kratt",3,"#ff0000","#ff0000",""
"1171_3",61,"238","Lauenburg, ZOB  >  Moorring  >  Spitzort  >  Lauenburg, ZOB",3,"#ff0000","#ff0000",""
"1170_3",61,"237","Willinghusen > Glinde > %SB Reinbek > Wentorf",3,"#ff0000","#ff0000",""
"1169_3",61,"236","(Wentorf >) %SB Reinbek > Schönningstedt > Neuschönningstedt",3,"#ff0000","#ff0000",""
"1168_3",61,"235","%SB  Nettelnburg  >  Bf. Bergedorf > Wentorf > %SB Reinbek (> Reinbek, Schulzentrum)",3,"#ff0000","#ff0000",""
"1167_3",61,"234","Neuallermöhe  >   %SB  Nettelnburg  >  Grandkoppel  >  Bf. Bergedorf",3,"#ff0000","#ff0000",""
"1166_3",61,"233","%UB Steinfurther Allee > Havighorst > %UB Mümmelmannsberg",3,"#ff0000","#ff0000",""
"1163_3",61,"228","Bf. Bergedorf  >  Speckenweg  >  Altengamme",3,"#ff0000","#ff0000",""
"1162_3",61,"227","Bf. Bergedorf  >  Neuengamme  >  Kiebitzbrack  >  KZ-Gedenkstätte",3,"#ff0000","#ff0000",""
"1161_3",61,"225","Bf. Bergedorf  >  Curslacker Heerweg  >  Kirchwerder Hausdeich  >  Krauel",3,"#ff0000","#ff0000",""
"1160_3",61,"223","(Ochsenwerder >) Howe > Bf. Bergedorf",3,"#ff0000","#ff0000",""
"1159_3",61,"222","Moorfleet  >  Ochsenwerder  >  Fünfhausen  >  Reitbrook  >  Bf. Bergedorf",3,"#ff0000","#ff0000",""
"1158_3",61,"221","%SB  Mittlerer Landweg  >  Billwerder Billdeich  >   %SB  Nettelnburg  >  Bf.Bergedorf",3,"#ff0000","#ff0000",""
"1157_3",61,"220","Moorfleet  >  Schule Ochsenwerder",3,"#ff0000","#ff0000",""
"1156_3",61,"196","Gewerbegebiet Ulzburg > %AB Henstedt-Ulzburg  >  Henstedt Kirche > Kisdorf",3,"#ff0000","#ff0000",""
"1155_3",61,"195","Bf. Pinneberg  >  Rellingen  >  %AB Schnelsen  >   %UB  Niendorf Nord  > Pommernweg",3,"#ff0000","#ff0000",""
"1154_3",61,"194","%AB Quickborn  >  Ellerau  >  Quickborn-Heide  >   %UB  %AB Norderstedt Mitte",3,"#ff0000","#ff0000",""
"1153_3",61,"193","Lademannbogen  >   %UB  Langenhorn Markt  >  Krohnstiegtunnel  >  %UB  Garstedt",3,"#ff0000","#ff0000",""
"1152_3",61,"169","(%UB Ahrensburg West >) Bf. Ahrensburg > Gewerbegebiet Nord  > Bf. Gartenholz",3,"#ff0000","#ff0000",""
